Terms,News #1,News #2,News #5,News #6,News #7,
Plosser,6, 7, 3, 0, 4
Fed,6, 7, 1, 0, 3
bank,2, 3, 0, 0, 1
weak,3, 1, 1, 0, 0
monthly,2, 2, 0, 0, 1
say,10, 6, 2, 0, 4
reduce,3, 1, 0, 0, 1
Federal,8, 3, 1, 0, 2
would,3, 1, 0, 0, 1
US,1, 1, 4, 0, 2
bond,3, 2, 0, 0, 0
economic,5, 2, 1, 0, 2
year,4, 1, 1, 0, 1
number,1, 2, 1, 0, 1
pace,3, 4, 0, 0, 6
January,1, 1, 2, 0, 1
recent,2, 3, 0, 0, 0
Charles,1, 3, 1, 0, 1
Philadelphia,1, 3, 1, 0, 1
may,1, 0, 0, 0, 4
central,2, 2, 1, 0, 0
see,3, 2, 0, 0, 0
weather,3, 1, 2, 0, 0
FOMC,1, 2, 0, 0, 2
forecast,3, 0, 0, 0, 2
continue,2, 2, 0, 1, 2
The,5, 9, 1, 0, 1
February,2, 2, 2, 0, 0
growth,6, 1, 3, 0, 1
president,1, 4, 0, 0, 0
Bank,1, 2, 1, 0, 1
program,3, 0, 1, 0, 2
job,1, 1, 4, 0, 0
change,1, 4, 0, 4, 0
improve,3, 0, 0, 0, 4
economy,3, 4, 1, 0, 5
billion,2, 3, 0, 0, 1
Reserve,6, 2, 1, 0, 2
month,1, 6, 1, 0, 0
speech,2, 0, 3, 0, 1
high,2, 3, 0, 0, 0
data,3, 4, 0, 1, 0
report,3, 0, 2, 0, 0
purchase,5, 4, 0, 0, 3
